Município;pass_int
BAGÉ;0
BAGÉ;145
BELÉM;164
BELÉM;137
BELÉM;424
BELÉM;2021
BELÉM;2451
BELÉM;0
BELÉM;1725
BELÉM;0
BELÉM;1753
BELÉM;0
BELÉM;1281
BELÉM;0
BELÉM;2558
BELÉM;1806
BELÉM;1541
BELÉM;1678
BELÉM;1747
BELÉM;0
BELÉM;2609
BELÉM;1343
BELÉM;1154
BELÉM;1272
BELÉM;944
BELÉM;1259
BELÉM;1141
BELÉM;1213
BELÉM;1036
BELÉM;98
BELÉM;874
BELÉM;1011
BELÉM;893
BELÉM;1111
BELÉM;290
BELÉM;362
BELÉM;377
BELÉM;327
BELÉM;260
BELÉM;362
BELÉM;450
BELÉM;317
BELÉM;337
BELÉM;331
BELÉM;265
BELÉM;432
BELÉM;2072
BELÉM;1407
BELÉM;1430
BELÉM;2335
BELÉM;887
BELÉM;2135
BELÉM;2802
BELÉM;2768
BELÉM;2521
BELÉM;2606
BELÉM;1775
BELÉM;1959
BELÉM;885
BELÉM;713
BELÉM;719
BELÉM;735
BELÉM;642
BELÉM;757
BELÉM;891
BELÉM;914
BELÉM;1034
BELÉM;525
BELÉM;438
BELÉM;1145
BELÉM;257
BELÉM;390
BELÉM;520
BELÉM;763
BELÉM;623
BELÉM;498
BELÉM;571
BELÉM;940
BELÉM;902
BELÉM;729
BELÉM;906
BELÉM;1054
BELO HORIZONTE;0
BELO HORIZONTE;49
BELO HORIZONTE;0
BELO HORIZONTE;308
BELO HORIZONTE;10333
BELO HORIZONTE;8259
BELO HORIZONTE;209
BELO HORIZONTE;5295
BELO HORIZONTE;6150
BELO HORIZONTE;107
BELO HORIZONTE;4038
BELO HORIZONTE;80
BELO HORIZONTE;3572
BELO HORIZONTE;9839
BELO HORIZONTE;2450
BELO HORIZONTE;1379
BELO HORIZONTE;1100
BELO HORIZONTE;1267
BELO HORIZONTE;6303
BELO HORIZONTE;113
BELO HORIZONTE;0
BELO HORIZONTE;70
BELO HORIZONTE;0
BELO HORIZONTE;47
BELO HORIZONTE;147
BELO HORIZONTE;119
BELO HORIZONTE;77
BELO HORIZONTE;145
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;334
BELO HORIZONTE;131
BELO HORIZONTE;51
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;3591
BELO HORIZONTE;1249
BELO HORIZONTE;2404
BELO HORIZONTE;0
BELO HORIZONTE;2821
BELO HORIZONTE;1370
BELO HORIZONTE;2804
BELO HORIZONTE;3008
BELO HORIZONTE;2824
BELO HORIZONTE;1007
BELO HORIZONTE;3140
BELO HORIZONTE;2987
BELO HORIZONTE;1765
BELO HORIZONTE;3379
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;82
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;0
BELO HORIZONTE;4050
BELO HORIZONTE;2805
BELO HORIZONTE;3186
