"";"Município";"dom";"int";"cod_mun"
"1";"abadia de goiás";0;0;"5200050"
"2";"abadia dos dourados";0;0;"3100104"
"3";"abadiânia";0;0;"5200100"
"4";"abaeté";0;0;"3100203"
"5";"abaetetuba";0;0;"1500107"
"6";"abaiara";0;0;"2300101"
"7";"abaíra";0;0;"2900108"
"8";"abaré";0;0;"2900207"
"9";"abatiá";0;0;"4100103"
"10";"abdon batista";0;0;"4200051"
"11";"abel figueiredo";0;0;"1500131"
"12";"abelardo luz";0;0;"4200101"
"13";"abre campo";0;0;"3100302"
"14";"abreu e lima";0;0;"2600054"
"15";"abreulândia";0;0;"1700251"
"16";"acaiaca";0;0;"3100401"
"17";"açailândia";0;0;"2100055"
"18";"acajutiba";0;0;"2900306"
"19";"acará";0;0;"1500206"
"20";"acarape";0;0;"2300150"
"21";"acaraú";0;0;"2300200"
"22";"acari";0;0;"2400109"
"23";"acauã";0;0;"2200053"
"24";"aceguá";0;0;"4300034"
"25";"acopiara";0;0;"2300309"
"26";"acorizal";0;0;"5100102"
"27";"acrelândia";0;0;"1200013"
"28";"acreúna";0;0;"5200134"
"29";"açu";0;0;"2400208"
"30";"açucena";0;0;"3100500"
"31";"adamantina";0;0;"3500105"
"32";"adelândia";0;0;"5200159"
"33";"adolfo";0;0;"3500204"
"34";"adrianópolis";0;0;"4100202"
"35";"adustina";0;0;"2900355"
"36";"afogados da ingazeira";0;0;"2600104"
"37";"afonso bezerra";0;0;"2400307"
"38";"afonso cláudio";0;0;"3200102"
"39";"afonso cunha";0;0;"2100105"
"40";"afrânio";0;0;"2600203"
"41";"afuá";0;0;"1500305"
"42";"agrestina";0;0;"2600302"
"43";"agricolândia";0;0;"2200103"
"44";"agrolândia";0;0;"4200200"
"45";"agronômica";0;0;"4200309"
"46";"água azul do norte";0;0;"1500347"
"47";"água boa";15;0;"3100609"
"48";"água boa";15;0;"5100201"
"49";"água branca";0;0;"2200202"
"50";"água branca";0;0;"2500106"
"51";"água branca";0;0;"2700102"
"52";"água clara";0;0;"5000203"
"53";"água comprida";0;0;"3100708"
"54";"água doce";0;0;"4200408"
"55";"água doce do maranhão";0;0;"2100154"
"56";"água doce do norte";0;0;"3200169"
"57";"água fria";0;0;"2900405"
"58";"água fria de goiás";0;0;"5200175"
"59";"água limpa";0;0;"5200209"
"60";"água nova";0;0;"2400406"
"61";"água preta";0;0;"2600401"
"62";"água santa";0;0;"4300059"
"63";"aguaí";0;0;"3500303"
"64";"aguanil";0;0;"3100807"
"65";"águas belas";0;0;"2600500"
"66";"águas da prata";0;0;"3500402"
"67";"águas de chapecó";0;0;"4200507"
"68";"águas de lindóia";0;0;"3500501"
"69";"águas de santa bárbara";0;0;"3500550"
"70";"águas de são pedro";0;0;"3500600"
"71";"águas formosas";0;0;"3100906"
"72";"águas frias";0;0;"4200556"
"73";"águas lindas de goiás";0;0;"5200258"
"74";"águas mornas";0;0;"4200606"
"75";"águas vermelhas";0;0;"3101003"
"76";"agudo";0;0;"4300109"
"77";"agudos";0;0;"3500709"
"78";"agudos do sul";0;0;"4100301"
"79";"águia branca";0;0;"3200136"
"80";"aguiar";0;0;"2500205"
"81";"aguiarnópolis";0;0;"1700301"
"82";"aimorés";0;0;"3101102"
"83";"aiquara";0;0;"2900603"
"84";"aiuaba";0;0;"2300408"
"85";"aiuruoca";0;0;"3101201"
"86";"ajuricaba";0;0;"4300208"
"87";"alagoa";0;0;"3101300"
"88";"alagoa grande";0;0;"2500304"
"89";"alagoa nova";0;0;"2500403"
"90";"alagoinha";0;0;"2500502"
"91";"alagoinha";0;0;"2600609"
"92";"alagoinha do piauí";0;0;"2200251"
"93";"alagoinhas";0;0;"2900702"
"94";"alambari";0;0;"3500758"
"95";"albertina";0;0;"3101409"
"96";"alcântara";0;0;"2100204"
"97";"alcântaras";0;0;"2300507"
"98";"alcantil";0;0;"2500536"
"99";"alcinópolis";0;0;"5000252"
"100";"alcobaça";0;0;"2900801"
"101";"aldeias altas";0;0;"2100303"
"102";"alecrim";0;0;"4300307"
"103";"alegre";0;0;"3200201"
"104";"alegrete";0;0;"4300406"
"105";"alegrete do piauí";0;0;"2200277"
"106";"alegria";0;0;"4300455"
"107";"além paraíba";0;0;"3101508"
"108";"alenquer";0;0;"1500404"
"109";"alexandria";0;0;"2400505"
"110";"alexânia";0;0;"5200308"
"111";"alfenas";0;0;"3101607"
"112";"alfredo chaves";0;0;"3200300"
"113";"alfredo marcondes";0;0;"3500808"
"114";"alfredo vasconcelos";0;0;"3101631"
"115";"alfredo wagner";0;0;"4200705"
"116";"algodão de jandaíra";0;0;"2500577"
"117";"alhandra";0;0;"2500601"
"118";"aliança";0;0;"2600708"
"119";"aliança do tocantins";0;0;"1700350"
"120";"almadina";0;0;"2900900"
"121";"almas";0;0;"1700400"
"122";"almeirim";8;0;"1500503"
"123";"almenara";0;0;"3101706"
"124";"almino afonso";0;0;"2400604"
"125";"almirante tamandaré";0;0;"4100400"
"126";"almirante tamandaré do sul";0;0;"4300471"
"127";"aloândia";0;0;"5200506"
"128";"alpercata";0;0;"3101805"
"129";"alpestre";0;0;"4300505"
"130";"alpinópolis";0;0;"3101904"
"131";"alta floresta";25;0;"5100250"
"132";"alta floresta d'oeste";0;0;"1100015"
"133";"altair";0;0;"3500907"
"134";"altamira";47;0;"1500602"
"135";"altamira do maranhão";0;0;"2100402"
"136";"altamira do paraná";0;0;"4100459"
"137";"altaneira";0;0;"2300606"
"138";"alterosa";0;0;"3102001"
"139";"altinho";0;0;"2600807"
"140";"altinópolis";0;0;"3501004"
"141";"alto alegre";0;0;"1400050"
"142";"alto alegre";0;0;"3501103"
"143";"alto alegre";0;0;"4300554"
"144";"alto alegre do maranhão";0;0;"2100436"
"145";"alto alegre do pindaré";0;0;"2100477"
"146";"alto alegre dos parecis";0;0;"1100379"
"147";"alto araguaia";0;0;"5100300"
"148";"alto bela vista";0;0;"4200754"
"149";"alto boa vista";0;0;"5100359"
"150";"alto caparaó";0;0;"3102050"
"151";"alto do rodrigues";0;0;"2400703"
"152";"alto feliz";0;0;"4300570"
"153";"alto garças";0;0;"5100409"
"154";"alto horizonte";0;0;"5200555"
"155";"alto jequitibá";0;0;"3153509"
"156";"alto longá";0;0;"2200301"
"157";"alto paraguai";0;0;"5100508"
"158";"alto paraíso";0;0;"1100403"
"159";"alto paraíso";0;0;"4128625"
"160";"alto paraíso de goiás";0;0;"5200605"
"161";"alto paraná";0;0;"4100608"
"162";"alto parnaíba";0;0;"2100501"
"163";"alto piquiri";0;0;"4100707"
"164";"alto rio doce";0;0;"3102100"
"165";"alto rio novo";0;0;"3200359"
"166";"alto santo";0;0;"2300705"
"167";"alto taquari";0;0;"5100607"
"168";"altônia";0;0;"4100509"
"169";"altos";0;0;"2200400"
"170";"alumínio";0;0;"3501152"
"171";"alvarães";0;0;"1300029"
"172";"alvarenga";0;0;"3102209"
"173";"álvares florence";0;0;"3501202"
"174";"álvares machado";0;0;"3501301"
"175";"álvaro de carvalho";0;0;"3501400"
"176";"alvinlândia";0;0;"3501509"
"177";"alvinópolis";0;0;"3102308"
"178";"alvorada";0;0;"1700707"
"179";"alvorada";0;0;"4300604"
"180";"alvorada d'oeste";0;0;"1100346"
"181";"alvorada de minas";0;0;"3102407"
"182";"alvorada do gurguéia";0;0;"2200459"
"183";"alvorada do norte";0;0;"5200803"
"184";"alvorada do sul";0;0;"4100806"
"185";"amajari";0;0;"1400027"
"186";"amambai";0;0;"5000609"
"187";"amapá";0;0;"1600105"
"188";"amapá do maranhão";0;0;"2100550"
