arranjo_populacional;municipios;uf;cod_mun;pop_sem_data;pop_2019;nucleo;pessoas_em_pendularidade_trabalho;indice_integracao;mancha_continua;desmembrado_de_mun_arranjo_1988;nivel;via;iteracao
Adamantina - Lucélia/SP;Adamantina;SP;3500105;33797;35068;Sim;2268;0,1;Sim;Não;1;-;0
Adamantina - Lucélia/SP;Inúbia Paulista;SP;3520806;3630;3991;Não;423;0,17;Não;Não;1;-;1
Adamantina - Lucélia/SP;Lucélia;SP;3527405;19882;21747;Sim;2289;0,18;Sim;Não;1;-;0
Adamantina - Lucélia/SP;Mariápolis;SP;3528908;3916;4084;Não;499;0,2;Não;Não;1;-;1
Adamantina - Lucélia/SP;Pracinha;SP;3540853;2858;4093;Não;261;0,26;Não;Sim;1;-;0
Adrianópolis/PR - Ribeira/SP;Adrianópolis;PR;4100202;6376;5919;Sim;180;0,04;Sim;Não;1;-;0
Adrianópolis/PR - Ribeira/SP;Ribeira;SP;3542800;3358;3340;Sim;180;0,08;Sim;Não;1;-;0
Águas de Lindóia/SP;Águas de Lindóia;SP;3500501;17266;18705;Sim;458;0,04;Sim;Não;1;-;0
Águas de Lindóia/SP;Lindóia;SP;3527009;6712;7980;Não;458;0,09;Sim;Não;1;-;0
Além Paraíba/MG - Sapucaia/RJ;Além Paraíba;MG;3101508;34349;35362;Sim;2197;0,09;Não;Não;1;-;0
Além Paraíba/MG - Sapucaia/RJ;Sapucaia;RJ;3305406;17525;18228;Sim;2197;0,2;Não;Não;1;-;0
Alto Araguaia/MT;Alto Araguaia;MT;5100300;15644;19044;Sim;1435;0,13;Sim;Não;1;-;0
Alto Araguaia/MT;Santa Rita do Araguaia;GO;5219407;6924;8756;Não;1435;0,3;Sim;Não;1;-;0
Alto Parnaíba/MA - Santa Filomena/PI;Alto Parnaíba;MA;2100501;10766;11190;Sim;166;0,02;Sim;Não;1;-;0
Alto Parnaíba/MA - Santa Filomena/PI;Santa Filomena;PI;2209203;6096;6253;Não;166;0,04;Sim;Não;1;-;0
Alvorada do Norte - Simolândia/GO;Alvorada do Norte;GO;5200803;8084;8660;Sim;418;0,07;Sim;Não;1;-;0
Alvorada do Norte - Simolândia/GO;Simolândia;GO;5220686;6514;6856;Sim;418;0,1;Sim;Não;1;-;0
Amarante/PI - São Francisco do Maranhão/MA;Amarante;PI;2200509;17135;17598;Sim;316;0,03;Sim;Não;1;-;0
Amarante/PI - São Francisco do Maranhão/MA;São Francisco do Maranhão;MA;2110906;12146;12210;Sim;316;0,04;Sim;Não;1;-;0
Americana - Santa Bárbara d´Oeste/SP;Americana;SP;3501608;210638;239597;Sim;41118;0,27;Sim;Não;1;-;0
Americana - Santa Bárbara d´Oeste/SP;Nova Odessa;SP;3533403;51242;60174;Não;10848;0,29;Sim;Não;1;-;0
Americana - Santa Bárbara d´Oeste/SP;Santa Bárbara d´Oeste;SP;3545803;180009;193475;Sim;35560;0,27;Sim;Não;1;-;0
Amparo/SP;Amparo;SP;3501905;65829;72195;Sim;1218;0,03;Sim;Não;1;-;0
Amparo/SP;Monte Alegre do Sul;SP;3531209;7152;8038;Não;1218;0,23;Sim;Não;1;-;0
Angical do Piauí/PI;Angical do Piauí;PI;2200608;6672;6788;Sim;105;0,02;Sim;Não;1;-;0
Angical do Piauí/PI;Santo Antônio dos Milagres;PI;2209450;2059;2161;Não;105;0,08;Sim;Não;1;-;0
Antônio Prado/RS;Antônio Prado;RS;4300802;12833;13050;Sim;517;0,05;Sim;Não;1;-;0
Antônio Prado/RS;Ipê;RS;4310439;6016;6640;Não;517;0,11;Sim;Não;1;-;0
Aquidauana - Anastácio/MS;Anastácio;MS;5000708;23835;25135;Sim;3572;0,21;Sim;Não;1;-;0
Aquidauana - Anastácio/MS;Aquidauana;MS;5001102;45614;47871;Sim;3572;0,11;Sim;Não;1;-;0
Aracaju/SE;Aracaju;SE;2800308;571149;657013;Sim;86935;0,21;Sim;Não;1;-;0
Aracaju/SE;Barra dos Coqueiros;SE;2800605;24976;30407;Não;5362;0,35;Sim;Não;1;-;0
Aracaju/SE;Carmópolis;SE;2801504;13503;16634;Não;3310;0,36;Não;Não;1;-;0
Aracaju/SE;Divina Pastora;SE;2802007;4326;5138;Não;761;0,26;Não;Não;1;-;2
Aracaju/SE;General Maynard;SE;2802502;2929;3346;Não;791;0,42;Não;Não;2;Via Carmópolis (SE);0
