arranjo_populacional;municipios;uf;cod_mun;pop_sem_data;pop_2019;nucleo;pessoas_em_pendularidade_trabalho;indice_integracao;mancha_continua;desmembrado_de_mun_arranjo_1988;nivel;via;iteracao
Adamantina - Lucélia/SP;Adamantina;SP;3500105;33.797;35.068;Sim;2.268;0,1;Sim;Não;1;-;0
Adamantina - Lucélia/SP;Inúbia Paulista;SP;3520806;3.630;3.991;Não;423;0,17;Não;Não;1;-;1
Adamantina - Lucélia/SP;Lucélia;SP;3527405;19.882;21.747;Sim;2.289;0,18;Sim;Não;1;-;0
Adamantina - Lucélia/SP;Mariápolis;SP;3528908;3.916;4.084;Não;499;0,2;Não;Não;1;-;1
Adamantina - Lucélia/SP;Pracinha;SP;3540853;2.858;4.093;Não;261;0,26;Não;Sim;1;-;0
Adrianópolis/PR - Ribeira/SP;Adrianópolis;PR;4100202;6.376;5.919;Sim;180;0,04;Sim;Não;1;-;0
Adrianópolis/PR - Ribeira/SP;Ribeira;SP;3542800;3.358;3.340;Sim;180;0,08;Sim;Não;1;-;0
Águas de Lindóia/SP;Águas de Lindóia;SP;3500501;17.266;18.705;Sim;458;0,04;Sim;Não;1;-;0
Águas de Lindóia/SP;Lindóia;SP;3527009;6.712;7.980;Não;458;0,09;Sim;Não;1;-;0
Além Paraíba/MG - Sapucaia/RJ;Além Paraíba;MG;3101508;34.349;35.362;Sim;2.197;0,09;Não;Não;1;-;0
Além Paraíba/MG - Sapucaia/RJ;Sapucaia;RJ;3305406;17.525;18.228;Sim;2.197;0,2;Não;Não;1;-;0
Alto Araguaia/MT;Alto Araguaia;MT;5100300;15.644;19.044;Sim;1.435;0,13;Sim;Não;1;-;0
Alto Araguaia/MT;Santa Rita do Araguaia;GO;5219407;6.924;8.756;Não;1.435;0,3;Sim;Não;1;-;0
Alto Parnaíba/MA - Santa Filomena/PI;Alto Parnaíba;MA;2100501;10.766;11.190;Sim;166;0,02;Sim;Não;1;-;0
Alto Parnaíba/MA - Santa Filomena/PI;Santa Filomena;PI;2209203;6.096;6.253;Não;166;0,04;Sim;Não;1;-;0
Alvorada do Norte - Simolândia/GO;Alvorada do Norte;GO;5200803;8.084;8.660;Sim;418;0,07;Sim;Não;1;-;0
Alvorada do Norte - Simolândia/GO;Simolândia;GO;5220686;6.514;6.856;Sim;418;0,1;Sim;Não;1;-;0
Amarante/PI - São Francisco do Maranhão/MA;Amarante;PI;2200509;17.135;17.598;Sim;316;0,03;Sim;Não;1;-;0
Amarante/PI - São Francisco do Maranhão/MA;São Francisco do Maranhão;MA;2110906;12.146;12.210;Sim;316;0,04;Sim;Não;1;-;0
Americana - Santa Bárbara d´Oeste/SP;Americana;SP;3501608;210.638;239.597;Sim;41.118;0,27;Sim;Não;1;-;0
Americana - Santa Bárbara d´Oeste/SP;Nova Odessa;SP;3533403;51.242;60.174;Não;10.848;0,29;Sim;Não;1;-;0
Americana - Santa Bárbara d´Oeste/SP;Santa Bárbara d´Oeste;SP;3545803;180.009;193.475;Sim;35.560;0,27;Sim;Não;1;-;0
Amparo/SP;Amparo;SP;3501905;65.829;72.195;Sim;1.218;0,03;Sim;Não;1;-;0
Amparo/SP;Monte Alegre do Sul;SP;3531209;7.152;8.038;Não;1.218;0,23;Sim;Não;1;-;0
Angical do Piauí/PI;Angical do Piauí;PI;2200608;6.672;6.788;Sim;105;0,02;Sim;Não;1;-;0
Angical do Piauí/PI;Santo Antônio dos Milagres;PI;2209450;2.059;2.161;Não;105;0,08;Sim;Não;1;-;0
Antônio Prado/RS;Antônio Prado;RS;4300802;12.833;13.050;Sim;517;0,05;Sim;Não;1;-;0
Antônio Prado/RS;Ipê;RS;4310439;6.016;6.640;Não;517;0,11;Sim;Não;1;-;0
Aquidauana - Anastácio/MS;Anastácio;MS;5000708;23.835;25.135;Sim;3.572;0,21;Sim;Não;1;-;0
Aquidauana - Anastácio/MS;Aquidauana;MS;5001102;45.614;47.871;Sim;3.572;0,11;Sim;Não;1;-;0
Aracaju/SE;Aracaju;SE;2800308;571.149;657.013;Sim;86.935;0,21;Sim;Não;1;-;0
Aracaju/SE;Barra dos Coqueiros;SE;2800605;24.976;30.407;Não;5.362;0,35;Sim;Não;1;-;0
Aracaju/SE;Carmópolis;SE;2801504;13.503;16.634;Não;3.310;0,36;Não;Não;1;-;0
Aracaju/SE;Divina Pastora;SE;2802007;4.326;5.138;Não;761;0,26;Não;Não;1;-;2
