cod_mun;UF;Município;pop2019;pib2017milreais;export_fob_2019;import_fob_2019;pip_per_capita17;hierarquia_urbana07;hierarquia;voos_dom;voos_int;indice_proximidade;indice_intermediacao
1100015;RO;Alta Floresta D'Oeste ;22945;498864;198695;13294;1961;Centro Local;1;0;0;0,30416971;0,00000000
1100023;RO;Ariquemes ;107863;2296074;38002769;738809;2139;Centro Subregional B;4;0;0;0,41714770;0,00720614
1100031;RO;Cabixi ;5312;138894;137660;0;2232;Centro Local;1;0;0;0,23445949;0,00000000
1100049;RO;Cacoal ;85359;2127523;20514957;53854;2404;Centro Subregional B;4;25;0;0,40565826;0,00138341
1100056;RO;Cerejeiras ;16323;448524;97838806;59259;2501;Centro de Zona B;2;0;0;0,30626660;0,00073794
1100064;RO;Colorado do Oeste ;15882;340047;7879;9474;1841;Centro Local;1;0;0;0,30624929;0,00036900
1100072;RO;Corumbiara ;7391;330393;0;0;3816;Centro Local;1;0;0;0,23446963;0,00000000
1100080;RO;Costa Marques ;18331;215992;0;0;1241;Centro Local;1;0;0;0,30425508;0,00000025
1100098;RO;Espigão D'Oeste ;32374;577982;7418209;0;1750;Centro Local;1;0;0;0,30434050;0,00000000
1100106;RO;Guajará-Mirim ;46174;804570;7918716;1096586;1696;Centro de Zona B;2;0;0;0,30405026;0,00000291
1100114;RO;Jaru ;51775;1413628;75360555;1469;2530;Centro de Zona A;3;0;0;0,40468902;0,00153432
1100122;RO;Ji-Paraná ;128969;3026759;75647347;1444659;2281;Centro Subregional A;5;26;0;0,42937495;0,00399290
1100130;RO;Machadinho D'Oeste ;39991;607111;13074893;0;1572;Centro Local;1;0;0;0,30233726;0,00000172
1100148;RO;Nova Brasilândia D'Oeste ;20474;360966;0;45000;1660;Centro Local;1;0;0;0,30447728;0,00000004
1100155;RO;Ouro Preto do Oeste ;36035;777713;1709861;152482;1956;Centro de Zona B;2;0;0;0,40862485;0,00484365
1100189;RO;Pimenta Bueno ;36660;1076411;57292828;53659348;2829;Centro Local;1;0;0;0,41066828;0,00188975
1100205;RO;Porto Velho ;529544;16514535;124311100;910657971;3179;Capital Regional B;7;200;0;0,42974945;0,01004559
1100254;RO;Presidente Médici ;18986;415050;0;5920466;1876;Centro Local;1;0;0;0,40638824;0,00120115
1100262;RO;Rio Crespo ;3764;106320;0;0;2777;Centro Local;1;0;0;0,00000000;0,00000000
