cod_mun,dia2502,dia2902,dia0403,dia0503,dia0603,dia0703,dia0803,dia0903,dia1003,dia1103,dia1203,dia1303,dia1403,dia1503,dia1603,dia1703,dia1803,dia1903,dia2003,dia2103,dia2203,dia2303,dia2403,dia2503,dia2603,dia2703,dia2803,dia2903,dia3003
1501956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5201454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5202353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2922052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3517208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4314076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3162948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3109303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3520905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3519071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3202108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4305124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4316428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4315552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4302659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,14.0
1709500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2917201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4217600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
1101708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0
